id;doi;title;main_author_name;author_names;year;outlet;outlet_type;outlet_rank;multi_kd2;cross_team_kd2;semester
10001;10.1371/journal.pone.0271762;Setting adequate wages for workers: Managers work experience, incentive scheme and gender matter;David Huber;David Huber, Leonie Kuehl, Nora Szech;2022;PLOS ONE;Journal;;2;1;H2/22
10002;10.1016/j.chb.2021.107122;Understanding the impact of control levels over emotion-aware chatbots;Ivo Benke;Ivo Benke, Ulrich Gnewuch, Alexander Maedche;2021;Computers in Human Behavior;Journal;;2;2;H2/22
10003;10.1145/3555117;TeamSpiritous - A Retrospective Emotional Competence Development System for Video-Meetings;Ivo Benke;Ivo Benke, Maren Schneider, Xuanhui Liu, Alexander Maedche;2022;Proceedings of the ACM on Human-Computer Interaction;Journal;;2;2;H2/22
10004;10.1080/02699931.2022.2099349;The influence of incidental emotions on decision-making under risk and uncertainty: a systematic review and meta-analysis of experimental evidence;Karen Bartholomeyczik;Karen Bartholomeyczik, Michael Gusenbauer, Theresa Treffers;2022;Cognition and Emotion;Journal;;1;1;H2/22
10005;10.1016/j.ohx.2022.e00357;A simplified design of a cEEGrid ear-electrode adapter for the OpenBCI biosensing platform;Michael Knierim;Michael Knierim, Max Schemmer, Niklas Bauer;2022;HardwareX;Journal;;1;1;H2/22
10006;10.1007/978-3-031-13064-9_13;The View of Participants on the Potential of Conducting NeuroIS Studies in the Wild;Anke Greif-Winzrieth;Anke Greif-Winzrieth, Christian Peukert, Peyman Toreini, Christof Weinhardt;2022;Information Systems and Neuroscience;Conference;;3;2;H2/22
10007;none;Interpretable Deep Neural Networks for EEG-based Auditory Attention Detection with Layer-Wise Relevance Propagation;Gabriel Ivucic;Gabriel Ivucic, Felix Putze, Siqi Cai, Haizhou Li, Tanja Schultz;2022;Neuroadaptive Technology;Conference;;3;1;H2/22
10008;10.1145/3462204.3481764;LeadBoSki: A Smart Personal Assistant for Leadership Support in Video-Meetings;Ivo Benke;Ivo Benke, Sebastian Vetter, Alexander Maedche;2021;Companion Publication of the 2021 Conference on Computer Supported Cooperative Work and Social Computing;Conference;;2;2;H2/22
10009;10.1007/978-3-031-13064-9_4;Biosignal-Based Recognition of Cognitive Load: A Systematic Review of Public Datasets and Classifiers;Julia Seitz;Julia Seitz, Alexander Maedche;2022;Information Systems and Neuroscience;Conference;;2;1;H2/22
10010;none;Towards an Awkward Silence-Adaptive Virtual Meeting System.;Julia Seitz;Julia Seitz, Tom Reuscher, Saskia Jakob, Alexander Maedche;2022;Neuroadaptive Technology;Conference;;3;2;H2/22
10011;10.1007/978-3-031-13064-9_3;Flow in Knowledge Work: An Initial Evaluation of Flow Psychophysiology Across Three Cognitive Tasks;Karen Bartholomeyczik;Karen Bartholomeyczik, Michael Knierim, Petra Nieken, Julia Seitz, Fabio Stano, Christof Weinhardt;2022;Information Systems and Neuroscience;Conference;;5;3;H2/22
10012;none;Monitoring Cognitive Load with 3D-Printed EEG Headphones;Michael Knierim;Michael Knierim, Christian Zimny, Julia Seitz;2022;International Conference of Information Systems;Conference;;2;2;H1/23
10013;none;Could we Predict Flow from Ear-EEG;Michael Knierim;Michael Knierim, Karen Bartholomeyczik, Petra Nieken, Christof Weinhardt;2022;10th International Conference on Affective Computing and Intelligent Interaction (ACII);Conference;;4;2;H1/23
